1,87073508867,kyz,com,yYYUgmHm,19,5,maAalSJBlQVMojfLKjPxJzxxtpeDUTyaJKponwtMIzIgoMjAuatPhVjGCyEUdQwoRsdmHrerHkVkXTzk,61360618,58,19
2,87071026377,ala,sec,ilJDRPDT,80,3,RxNDMUrzEyahyOosUtQzzaXlAQnQiIcGZsPFQXqjfllxPfpXlwORYljBxabKLtoogeNvRAAwAtdIpHKd,35546411,44,3
3,87074694594,kyz,com,rmfVhvZA,25,1,FPDKxxGrDjxdTGvbhyiYoHoEuDednAeXeSBHCfloRvHaVkONOXDFyBHTbivpOFRGcZhNqsDUsAOYWHIb,63168910,21,38
4,87077548729,ala,com,EhLOhEiC,57,7,aGGAxqVtxNcARemsikUMFMemFPzrxIOlPLsWXIkPuhFMNUVwUjUYbnDMXUBBYHIbTNopZCecBZIqRAlr,18500243,51,33
5,87072030854,nur,new,AlMvNjKl,45,6,fLtKPwBjKpDEfJwDvuSfPgFsrfmLuqzJIjqGkZhgmJdSYdAkaOvTIImoIAfRMYbyxEKLhaJILSLfNTkn,57476924,74,36
6,87072079536,kyz,new,yQpjnnVk,50,2,xOsXqBAEcExYjnubANukRsnGeKMGyZzsbCBrhPhSlFuXrqoIjflxwarqSRtJUTQGMOexzmKYDHKjJAgY,87478694,38,34
7,87073848868,nur,sec,IORxDjVc,81,1,vbmhLvSJLspOfqVGBqknKjdzAlmUIscNKKHtvaWEAZXSrqwzWUwMMDqofoMDqdxIkYUzALnimBwszOyq,42748118,35,12
8,87074541395,ala,new,zdTaZVXh,34,6,ttmDDZvhrtiflrPCIDnATTeByodOAlgujYcjKxxkLUReGYCLxvrQViXpvKmqpVdOlgNcQkokpThQZqez,16544354,11,46
9,87075071010,ala,new,jzTOKTCL,75,8,rNWGjYDQhNtrdpllfTVYRwniNeaSWRfQHSiFBTDcIUFVMDwipaSctkFkEKCENqTxVyfoxOjIrIUMhpff,73505228,70,19
10,87078318126,kyz,sec,sucUrBKD,91,8,VFFQzlCVgaDZtSEtjEYtzyASrUHJDmFPFEBlAmWpOuapxHMEgkNOaPLJszMpvBNdionlvWGCrTGVMjlU,65615095,25,26
11,87073683255,ala,com,fDYyzqVf,14,2,wefHHDIilaNbRdtHFaIzOlfyEAcouKYeNLnxOhpcQFYlCuSDOgjmPNfgVYbPKqQTLXgXXPXIXtCUzvMW,57206091,45,29
12,87077723723,nur,com,yzRIVfBW,85,3,rsHBgQxIyFPxJdyHJxTqBObNjetlACTypoQufefArzEeDQjugPTKsWCmbvAsNutMrQidNuBiIzAvBusU,97979941,70,1
